modality,model,task,task_display,perspective_delta,t_perspective,p_perspective,n_struct_perspective,offset_delta,t_offset,p_offset,n_struct_offset,p_perspective_fdr,p_offset_fdr
text,claude,task2,Top Layer,0.010666666666666666,0.8120925212032489,0.41699656140401076,750,-0.010666666666666666,-0.8625149062472285,0.3886803056561775,750,0.5733702719305148,0.6845654271142876
text,claude,task3,Column Count,-0.05333333333333334,-4.36491285467818,1.4504182258349016e-05,750,-0.004,-0.35334705652808185,0.7239276986936489,750,7.97730024209196e-05,0.7963204685630139
text,claude,task4,Layer Count,-0.008666666666666666,-0.593728707599953,0.5528728385187935,750,0.002,0.16187958001428376,0.8714443411295731,750,0.6081601223706729,0.871444341129573
text,claude,task5,Visible Object Count,-0.008666666666666666,-0.6820797460298963,0.4953993936543972,750,0.008666666666666666,0.7780848814635732,0.43676468838945437,750,0.6054881477998189,0.6845654271142876
text,claude,task6,Direct Support,0.07466666666666667,5.26875280011652,1.7974243268533648e-07,750,-0.013333333333333334,-1.031465197932269,0.3026556637852735,750,1.9771667595387012e-06,0.6845654271142876
text,claude,task7,Support Column,0.028,1.9662776074983108,0.04963546286000065,750,-0.009333333333333334,-0.7198509652259876,0.4718413207393797,750,0.10919801829200144,0.6845654271142876
text,claude,task8,Hidden Object Count,-0.0026666666666666666,-0.23313762103524804,0.8157182392462515,750,-0.012,-1.1038114907925571,0.2700294122466888,750,0.8157182392462515,0.6845654271142876
text,claude,task9,task9,0.014,1.5890640069061504,0.11246793857132943,750,-0.006,-0.8248528326956854,0.4097177595093803,750,0.17673533204066055,0.6845654271142876
text,claude,task10,task10,-0.03866666666666667,-2.6692587043575826,0.007766511303032651,750,0.018666666666666668,1.3939275882522497,0.16375287045108824,750,0.028477208111119718,0.6845654271142876
text,claude,task11,task11,-0.03133333333333333,-2.2441091651279863,0.025116678978070895,750,0.008666666666666666,0.642556976007919,0.5207082405871337,750,0.06907086718969496,0.6845654271142876
text,claude,main,Object Counting,-0.02,-1.7172125371187448,0.08635372699438186,750,0.006666666666666667,0.5829551102932883,0.5600989858207808,750,0.15831516615636673,0.6845654271142876
text,gemini,task2,Top Layer,0.042666666666666665,2.9298216132478094,0.0034946454454359457,750,-0.008,-0.5784346169728233,0.5631446075499138,750,0.019220549949897702,0.8776247129391556
text,gemini,task3,Column Count,-0.04466666666666667,-3.9659887259486415,8.010478956385713e-05,750,0.011333333333333334,1.0818069017401455,0.279686506903046,750,0.0008811526852024284,0.7880769867782532
text,gemini,task4,Layer Count,-0.011333333333333334,-0.753294434450631,0.4515097145251902,750,0.012666666666666666,0.884790108532968,0.3765537858044483,750,0.4515097145251902,0.7880769867782532
text,gemini,task5,Visible Object Count,-0.026,-2.110646615502034,0.03513358989851095,750,0.004666666666666667,0.4045946876796171,0.6858909765497692,750,0.08104455980730559,0.8776247129391556
text,gemini,task6,Direct Support,0.030666666666666665,2.0912898677521863,0.03683843627604799,750,-0.005333333333333333,-0.3611935975964184,0.7180565833138546,750,0.08104455980730559,0.8776247129391556
text,gemini,task7,Support Column,0.028666666666666667,1.968482158002402,0.049380971040684604,750,-0.002,-0.13475168255684924,0.892844410910053,750,0.09053178024125512,0.892844410910053
text,gemini,task8,Hidden Object Count,0.027333333333333334,1.8533050032686071,0.06423172520185773,750,-0.011333333333333334,-0.7898588704136329,0.42986017460632,750,0.10093556817434786,0.7880769867782532
text,gemini,task9,task9,0.014,1.3423578580564148,0.1798867083603566,750,0.002,0.19811856327986016,0.8430060596501733,750,0.21986153244043585,0.892844410910053
text,gemini,task10,task10,-0.018,-1.1947499796122858,0.2325629131412485,750,-0.03,-1.9491468386090145,0.05165082965528129,750,0.2558192044553734,0.5681591262080942
text,gemini,task11,task11,-0.025333333333333333,-1.7590011563142094,0.07898560202391237,750,-0.014666666666666666,-0.9878132075333445,0.3235631300432684,750,0.10860520278287951,0.7880769867782532
text,gemini,main,Object Counting,-0.028666666666666667,-2.4954047452115398,0.012795498120392273,750,-0.011333333333333334,-1.0646760632870877,0.28736564591185904,750,0.04691682644143833,0.7880769867782532
text,glm,task2,Top Layer,0.006,0.49593656733722247,0.6200846540601466,750,-0.024666666666666667,-2.245367559237667,0.025035461862176072,750,0.7578812438512902,0.2753900804839368
text,glm,task3,Column Count,0.0033333333333333335,0.8004489758093588,0.4237045277386191,750,0.0006666666666666666,0.1523992335049976,0.8789131042278469,750,0.5825937256406013,0.899840540419368
text,glm,task4,Layer Count,0.004666666666666667,0.38688138182175624,0.6989539176028573,750,-0.007333333333333333,-0.66795565155776,0.5043676678890019,750,0.768849309363143,0.899840540419368
text,glm,task5,Visible Object Count,-0.007333333333333333,-1.7638871900312012,0.07815859953643862,750,0.0006666666666666666,0.1689213437043135,0.8659041175833335,750,0.17194891898016498,0.899840540419368
text,glm,task6,Direct Support,-0.014,-1.2067854399073195,0.22789578117802747,750,0.004666666666666667,0.4218844956956833,0.6732303867771177,750,0.358121941851186,0.899840540419368
text,glm,task7,Support Column,-0.016,-1.5442018205055783,0.12296182810783177,750,-0.012,-1.2797480619406372,0.20103000563166615,750,0.22543001819769157,0.899840540419368
text,glm,task8,Hidden Object Count,0.002,0.179489385248123,0.8576019955858651,750,0.008666666666666666,0.8269958733968619,0.408502782621043,750,0.8576019955858651,0.899840540419368
text,glm,task9,task9,0.03,2.603731302304973,0.00940413996656106,750,-0.004666666666666667,-0.45834368640339807,0.646838495838386,750,0.09117108908970205,0.899840540419368
text,glm,task10,task10,-0.012666666666666666,-1.9129543897205525,0.05613493093504429,750,-0.002,-0.3777483903962296,0.705724535950636,750,0.1543710600713718,0.899840540419368
text,glm,task11,task11,-0.012666666666666666,-2.4013696888485163,0.0165765616526731,750,0.0006666666666666666,0.12590546988864454,0.8998405404193681,750,0.09117108908970205,0.899840540419368
text,glm,main,Object Counting,-0.01,-1.990719207463213,0.046874730362814476,750,0.0006666666666666666,0.14276381537273983,0.8865151108698001,750,0.1543710600713718,0.899840540419368
text,gpt,task2,Top Layer,0.08666666666666667,6.549371964375921,1.0732263783738642e-10,750,-0.004,-0.31258342366063147,0.7546841807968696,750,1.1805490162112506e-09,0.9558081766504508
text,gpt,task3,Column Count,-0.030666666666666665,-3.163319707981879,0.0016227902285755851,750,0.0013333333333333333,0.14349784453104256,0.8859356101833874,750,0.0035701385028662873,0.9558081766504508
text,gpt,task4,Layer Count,-0.005333333333333333,-0.4336259977752608,0.6646849135740298,750,0.018666666666666668,1.5022144730136635,0.13346319300361345,750,0.7311534049314328,0.9558081766504508
text,gpt,task5,Visible Object Count,-0.036,-4.212441356496793,2.8339837592445168e-05,750,-0.0013333333333333333,-0.17396507995688626,0.8619399129169587,750,0.00010391273783896562,0.9558081766504508
text,gpt,task6,Direct Support,0.06466666666666666,4.537150503502544,6.639463325499508e-06,750,-0.014,-1.0186752263595944,0.30868610022346366,750,3.651704829024729e-05,0.9558081766504508
text,gpt,task7,Support Column,0.04666666666666667,3.081115821019217,0.002137755672414601,750,0.018666666666666668,1.2706259979225105,0.20425625129948546,750,0.003919218732760102,0.9558081766504508
text,gpt,task8,Hidden Object Count,0.002,0.1739650799568863,0.8619399129169587,750,-0.0006666666666666666,-0.05543314098366934,0.9558081766504508,750,0.8619399129169587,0.9558081766504508
text,gpt,task9,task9,0.017333333333333333,2.3808398078946342,0.01752229049705515,750,-0.004,-0.4929479982647125,0.6221938134523564,750,0.027535027923943807,0.9558081766504508
text,gpt,task10,task10,0.02266666666666667,1.4752425140162952,0.14056757821818117,750,0.004,0.2599712393078168,0.7949574040382443,750,0.1932804200499991,0.9558081766504508
text,gpt,task11,task11,0.017333333333333333,1.2022071631931381,0.22966321088024283,750,0.005333333333333333,0.3794464701528584,0.7044639004018199,750,0.28069947996474126,0.9558081766504508
text,gpt,main,Object Counting,-0.029333333333333333,-3.229135184914883,0.0012958025476561856,750,-0.0026666666666666666,-0.34795124935947147,0.7279745598796208,750,0.00356345700605451,0.9558081766504508
text,human,task2,Top Layer,0.024666666666666667,3.8723527218329665,0.00011720726251586452,750,0.0006666666666666666,0.12030673146961142,0.9042724354958528,750,0.00042975996255816993,0.9946996790454381
text,human,task3,Column Count,-0.05466666666666667,-6.090364091180369,1.7997671015171586e-09,750,0.014666666666666666,1.40357555753478,0.1608597254723169,750,1.9797438116688744e-08,0.3233685412110365
text,human,task4,Layer Count,0.0033333333333333335,0.8979105035223974,0.36952180053865047,750,0.004666666666666667,0.9801703995727648,0.3273184993818117,750,0.6559786418072279,0.4858305192633507
text,human,task5,Visible Object Count,-0.032,-2.621052901183249,0.008943656604630201,750,0.07333333333333333,5.326796897265875,1.323215085098792e-07,750,0.019676044530186444,1.4555365936086713e-06
text,human,task6,Direct Support,-0.0006666666666666666,-0.09160922930342462,0.9270330130356772,750,0.01,1.353253798635268,0.17638284066056534,750,0.9270330130356772,0.3233685412110365
text,human,task7,Support Column,-0.006,-0.8113177554705453,0.4174409538773268,750,0.016666666666666666,1.8310462932980525,0.06749073701987676,750,0.6559786418072279,0.24746603573954815
text,human,task8,Hidden Object Count,0.004,0.36906176043461025,0.712185993782547,750,0.04666666666666667,4.3261358393324825,1.7231574619384215e-05,750,0.7834045931608017,9.477366040661318e-05
text,human,task9,task9,0.004,0.4445116121520598,0.6568011449812217,750,0.0,0.0,1.0,750,0.7834045931608017,1.0
text,human,task10,task10,-0.062,-5.044217503964003,5.718642816005547e-07,750,0.011333333333333334,0.9287240928683012,0.35333128673698233,750,3.145253548803051e-06,0.4858305192633507
text,human,task11,task11,-0.03666666666666667,-3.1269227551213743,0.0018347753375737112,750,-0.002,-0.15867361748129766,0.873968797136776,750,0.005045632178327706,0.9946996790454381
text,human,main,Object Counting,-0.004,-0.37332930155371646,0.7090090065746539,750,0.016,1.3727975255209441,0.17022617765285566,750,0.7834045931608017,0.3233685412110365
