group,model,display_name,visible_correct,hidden_correct,cell,main_accuracy,main_correct,main_incorrect,n,share_of_scenes,overall_main_accuracy,overall_main_correct,overall_n
text,claude,Claude,1,1,V+ H+,0.668769716088328,212,105,317,0.10566666666666667,0.14066666666666666,422,3000
text,claude,Claude,1,0,V+ H-,0.17532467532467533,27,127,154,0.051333333333333335,0.14066666666666666,422,3000
text,claude,Claude,0,1,V- H+,0.09551020408163265,117,1108,1225,0.4083333333333333,0.14066666666666666,422,3000
text,claude,Claude,0,0,V- H-,0.05061349693251534,66,1238,1304,0.43466666666666665,0.14066666666666666,422,3000
text,gemini,Gemini,1,1,V+ H+,0.4796511627906977,165,179,344,0.11470490163387796,0.14838279426475492,445,2999
text,gemini,Gemini,1,0,V+ H-,0.1702127659574468,32,156,188,0.06268756252084028,0.14838279426475492,445,2999
text,gemini,Gemini,0,1,V- H+,0.14849428868120457,143,820,963,0.3211070356785595,0.14838279426475492,445,2999
text,gemini,Gemini,0,0,V- H-,0.06981382978723404,105,1399,1504,0.5015005001667222,0.14838279426475492,445,2999
text,glm,GLM,1,1,V+ H+,0.8571428571428571,18,3,21,0.007,0.035,105,3000
text,glm,GLM,1,0,V+ H-,0.6515151515151515,43,23,66,0.022,0.035,105,3000
text,glm,GLM,0,1,V- H+,0.006382978723404255,3,467,470,0.15666666666666668,0.035,105,3000
text,glm,GLM,0,0,V- H-,0.016782644289807615,41,2402,2443,0.8143333333333334,0.035,105,3000
text,gpt,GPT,1,1,V+ H+,0.5625,108,84,192,0.064,0.08333333333333333,250,3000
text,gpt,GPT,1,0,V+ H-,0.25,17,51,68,0.02266666666666667,0.08333333333333333,250,3000
text,gpt,GPT,0,1,V- H+,0.08136696501220504,100,1129,1229,0.4096666666666667,0.08333333333333333,250,3000
text,gpt,GPT,0,0,V- H-,0.01654533421575116,25,1486,1511,0.5036666666666667,0.08333333333333333,250,3000
text,human,Human,1,1,V+ H+,0.9064356435643565,1831,189,2020,0.6733333333333333,0.8213333333333334,2464,3000
text,human,Human,1,0,V+ H-,0.7852112676056338,223,61,284,0.09466666666666666,0.8213333333333334,2464,3000
text,human,Human,0,1,V- H+,0.5873015873015873,222,156,378,0.126,0.8213333333333334,2464,3000
text,human,Human,0,0,V- H-,0.5911949685534591,188,130,318,0.106,0.8213333333333334,2464,3000
text,kimi,Kimi,1,1,V+ H+,0.7070707070707071,140,58,198,0.066,0.136,408,3000
text,kimi,Kimi,1,0,V+ H-,0.4246575342465753,62,84,146,0.048666666666666664,0.136,408,3000
text,kimi,Kimi,0,1,V- H+,0.10062893081761007,80,715,795,0.265,0.136,408,3000
text,kimi,Kimi,0,0,V- H-,0.0677055346587856,126,1735,1861,0.6203333333333333,0.136,408,3000
text,qwen3b,Qwen3B,1,1,V+ H+,0.0,0,1,1,0.0003333333333333333,0.021333333333333333,64,3000
text,qwen3b,Qwen3B,1,0,V+ H-,1.0,6,0,6,0.002,0.021333333333333333,64,3000
text,qwen3b,Qwen3B,0,1,V- H+,0.0,0,568,568,0.18933333333333333,0.021333333333333333,64,3000
text,qwen3b,Qwen3B,0,0,V- H-,0.023917525773195877,58,2367,2425,0.8083333333333333,0.021333333333333333,64,3000
text,qwen,Qwen,1,1,V+ H+,0.8893905191873589,394,49,443,0.14766666666666667,0.17733333333333334,532,3000
text,qwen,Qwen,1,0,V+ H-,0.23484848484848486,31,101,132,0.044,0.17733333333333334,532,3000
text,qwen,Qwen,0,1,V- H+,0.07833655705996131,81,953,1034,0.3446666666666667,0.17733333333333334,532,3000
text,qwen,Qwen,0,0,V- H-,0.018691588785046728,26,1365,1391,0.46366666666666667,0.17733333333333334,532,3000
text,vla0,vla0,1,1,V+ H+,0.14285714285714285,1,6,7,0.0023333333333333335,0.041666666666666664,125,3000
text,vla0,vla0,1,0,V+ H-,0.8214285714285714,23,5,28,0.009333333333333334,0.041666666666666664,125,3000
text,vla0,vla0,0,1,V- H+,0.0035460992907801418,2,562,564,0.188,0.041666666666666664,125,3000
text,vla0,vla0,0,0,V- H-,0.04123281965847563,99,2302,2401,0.8003333333333333,0.041666666666666664,125,3000
