group,model,display_name,correlation_type,focus_task,source_focus_task,focus_name,task,source_task,task_name,pearson_r,p_value,n
text,claude,Claude,naive,Target2a,task10,Mental Rotation 90,Task1,task1,Object Categorization,,,0
text,claude,Claude,within_scene,Target2a,task10,Mental Rotation 90,Task1,task1,Object Categorization,,,0
text,claude,Claude,naive,Target2a,task10,Mental Rotation 90,Task2,task9,Cluster Count,-0.15458513261595952,1.6705631052583018e-17,3000
text,claude,Claude,within_scene,Target2a,task10,Mental Rotation 90,Task2,task9,Cluster Count,-0.168964278058349,2.5823239853002967e-20,2947
text,claude,Claude,naive,Target2a,task10,Mental Rotation 90,Task3,task3,Column Count,0.16879421123892324,1.2995624820685159e-20,3000
text,claude,Claude,within_scene,Target2a,task10,Mental Rotation 90,Task3,task3,Column Count,0.13762397634559667,4.431062345010503e-13,2745
text,claude,Claude,naive,Target2a,task10,Mental Rotation 90,Task4,task4,Layer Count,0.018424969547573535,0.31305031682005297,3000
text,claude,Claude,within_scene,Target2a,task10,Mental Rotation 90,Task4,task4,Layer Count,0.018501741711245405,0.3112801995111981,2997
text,claude,Claude,naive,Target2a,task10,Mental Rotation 90,Task5,task5,Visible Object Count,0.14014224596863661,1.2504328185825549e-14,3000
text,claude,Claude,within_scene,Target2a,task10,Mental Rotation 90,Task5,task5,Visible Object Count,0.12253210802313602,5.956131550705273e-11,2834
text,claude,Claude,naive,Target2a,task10,Mental Rotation 90,Task6,task2,Top Layer,0.026731561357851444,0.14324879443151534,3000
text,claude,Claude,within_scene,Target2a,task10,Mental Rotation 90,Task6,task2,Top Layer,0.025933815083735916,0.1559236484227615,2995
text,claude,Claude,naive,Target2a,task10,Mental Rotation 90,Task7,task6,Direct Support,-0.001129315243445228,0.9506987022965987,3000
text,claude,Claude,within_scene,Target2a,task10,Mental Rotation 90,Task7,task6,Direct Support,-0.005277872895036841,0.7736084026250853,2973
text,claude,Claude,naive,Target2a,task10,Mental Rotation 90,Task8,task7,Support Column,0.06427055873141985,0.00042762859634028617,3000
text,claude,Claude,within_scene,Target2a,task10,Mental Rotation 90,Task8,task7,Support Column,0.05583945565619363,0.0024097052626905007,2951
text,claude,Claude,naive,Target2a,task10,Mental Rotation 90,Task9,task8,Hidden Object Count,0.27639990911929846,9.611648844501254e-54,3000
text,claude,Claude,within_scene,Target2a,task10,Mental Rotation 90,Task9,task8,Hidden Object Count,0.2619073843011889,3.5604793449099066e-47,2931
text,claude,Claude,naive,Target2a,task10,Mental Rotation 90,Target1,main,Object Counting,0.14598669528264452,9.299035095767167e-16,3000
text,claude,Claude,within_scene,Target2a,task10,Mental Rotation 90,Target1,main,Object Counting,0.13432677753430616,4.624097107071859e-13,2878
text,claude,Claude,naive,Target2a,task10,Mental Rotation 90,Target2a,task10,Mental Rotation 90,,,3000
text,claude,Claude,within_scene,Target2a,task10,Mental Rotation 90,Target2a,task10,Mental Rotation 90,,,2509
text,claude,Claude,naive,Target2a,task10,Mental Rotation 90,Target2b,task11,Mental Rotation 180,0.2760365111423888,1.3330667678569062e-53,3000
text,claude,Claude,within_scene,Target2a,task10,Mental Rotation 90,Target2b,task11,Mental Rotation 180,0.23404338547192138,1.3215627608818203e-35,2756
text,claude,Claude,naive,Target2b,task11,Mental Rotation 180,Task1,task1,Object Categorization,,,0
text,claude,Claude,within_scene,Target2b,task11,Mental Rotation 180,Task1,task1,Object Categorization,,,0
text,claude,Claude,naive,Target2b,task11,Mental Rotation 180,Task2,task9,Cluster Count,-0.160801307832119,7.8943047186047e-19,3000
text,claude,Claude,within_scene,Target2b,task11,Mental Rotation 180,Task2,task9,Cluster Count,-0.17862208271801103,1.975408512170317e-22,2930
text,claude,Claude,naive,Target2b,task11,Mental Rotation 180,Task3,task3,Column Count,0.16353939939177026,1.9787764736501128e-19,3000
text,claude,Claude,within_scene,Target2b,task11,Mental Rotation 180,Task3,task3,Column Count,0.12650305269156112,4.716398271567523e-11,2686
text,claude,Claude,naive,Target2b,task11,Mental Rotation 180,Task4,task4,Layer Count,0.023024067808104492,0.20740913659276272,3000
text,claude,Claude,within_scene,Target2b,task11,Mental Rotation 180,Task4,task4,Layer Count,0.022900829771002305,0.21000437850340772,2998
text,claude,Claude,naive,Target2b,task11,Mental Rotation 180,Task5,task5,Visible Object Count,0.11880332312935704,6.68572410629797e-11,3000
text,claude,Claude,within_scene,Target2b,task11,Mental Rotation 180,Task5,task5,Visible Object Count,0.09710923818736947,2.745532895772325e-07,2791
text,claude,Claude,naive,Target2b,task11,Mental Rotation 180,Task6,task2,Top Layer,0.01526016743931265,0.40341704944238616,3000
text,claude,Claude,within_scene,Target2b,task11,Mental Rotation 180,Task6,task2,Top Layer,0.014363386625336236,0.4320782406573224,2994
text,claude,Claude,naive,Target2b,task11,Mental Rotation 180,Task7,task6,Direct Support,0.01256720682052916,0.49140582053089416,3000
text,claude,Claude,within_scene,Target2b,task11,Mental Rotation 180,Task7,task6,Direct Support,0.005770632759303997,0.7537335276029847,2958
text,claude,Claude,naive,Target2b,task11,Mental Rotation 180,Task8,task7,Support Column,0.11000041246634878,1.5335309651279126e-09,3000
text,claude,Claude,within_scene,Target2b,task11,Mental Rotation 180,Task8,task7,Support Column,0.10165515784671451,3.228114768796835e-08,2945
text,claude,Claude,naive,Target2b,task11,Mental Rotation 180,Task9,task8,Hidden Object Count,0.33287736524519684,1.530584373495047e-78,3000
text,claude,Claude,within_scene,Target2b,task11,Mental Rotation 180,Task9,task8,Hidden Object Count,0.31470377922424475,1.1579092795808117e-67,2899
text,claude,Claude,naive,Target2b,task11,Mental Rotation 180,Target1,main,Object Counting,0.16187084793588982,4.611373340267708e-19,3000
text,claude,Claude,within_scene,Target2b,task11,Mental Rotation 180,Target1,main,Object Counting,0.14788082696930008,2.3050660762536314e-15,2842
text,claude,Claude,naive,Target2b,task11,Mental Rotation 180,Target2a,task10,Mental Rotation 90,0.2760365111423888,1.3330667678569062e-53,3000
text,claude,Claude,within_scene,Target2b,task11,Mental Rotation 180,Target2a,task10,Mental Rotation 90,0.23404338547192133,1.3215627608818203e-35,2756
text,claude,Claude,naive,Target2b,task11,Mental Rotation 180,Target2b,task11,Mental Rotation 180,,,3000
text,claude,Claude,within_scene,Target2b,task11,Mental Rotation 180,Target2b,task11,Mental Rotation 180,,,2385
text,gemini,Gemini,naive,Target2a,task10,Mental Rotation 90,Task1,task1,Object Categorization,,,0
text,gemini,Gemini,within_scene,Target2a,task10,Mental Rotation 90,Task1,task1,Object Categorization,,,0
text,gemini,Gemini,naive,Target2a,task10,Mental Rotation 90,Task2,task9,Cluster Count,-0.14723618219587453,5.320086474721825e-16,2999
text,gemini,Gemini,within_scene,Target2a,task10,Mental Rotation 90,Task2,task9,Cluster Count,-0.1625429364746657,6.825242854597087e-19,2946
text,gemini,Gemini,naive,Target2a,task10,Mental Rotation 90,Task3,task3,Column Count,0.16659929398037654,4.097022094033068e-20,3000
text,gemini,Gemini,within_scene,Target2a,task10,Mental Rotation 90,Task3,task3,Column Count,0.1419925568831742,7.785893123118329e-14,2745
text,gemini,Gemini,naive,Target2a,task10,Mental Rotation 90,Task4,task4,Layer Count,0.10800969882480488,3.0141356516146507e-09,3000
text,gemini,Gemini,within_scene,Target2a,task10,Mental Rotation 90,Task4,task4,Layer Count,0.10803944507857338,3.0385841516750285e-09,2997
text,gemini,Gemini,naive,Target2a,task10,Mental Rotation 90,Task5,task5,Visible Object Count,0.18691408730689965,5.55590032917125e-25,2999
text,gemini,Gemini,within_scene,Target2a,task10,Mental Rotation 90,Task5,task5,Visible Object Count,0.16980557418370226,9.013846624772063e-20,2833
text,gemini,Gemini,naive,Target2a,task10,Mental Rotation 90,Task6,task2,Top Layer,0.06877064326432716,0.00016349839010959316,3000
text,gemini,Gemini,within_scene,Target2a,task10,Mental Rotation 90,Task6,task2,Top Layer,0.06767613396856934,0.00021023627073561149,2995
text,gemini,Gemini,naive,Target2a,task10,Mental Rotation 90,Task7,task6,Direct Support,0.12107834403473475,2.8627985137345892e-11,3000
text,gemini,Gemini,within_scene,Target2a,task10,Mental Rotation 90,Task7,task6,Direct Support,0.11564312487487471,2.548073880835961e-10,2973
text,gemini,Gemini,naive,Target2a,task10,Mental Rotation 90,Task8,task7,Support Column,0.13719225765854262,4.457158828699542e-14,3000
text,gemini,Gemini,within_scene,Target2a,task10,Mental Rotation 90,Task8,task7,Support Column,0.1283718148470365,2.5673249705167813e-12,2951
text,gemini,Gemini,naive,Target2a,task10,Mental Rotation 90,Task9,task8,Hidden Object Count,0.2627053162429587,1.5410323378449137e-48,3000
text,gemini,Gemini,within_scene,Target2a,task10,Mental Rotation 90,Task9,task8,Hidden Object Count,0.250642648958084,3.1690354682244627e-43,2931
text,gemini,Gemini,naive,Target2a,task10,Mental Rotation 90,Target1,main,Object Counting,0.2139573239515018,2.112818082849951e-32,3000
text,gemini,Gemini,within_scene,Target2a,task10,Mental Rotation 90,Target1,main,Object Counting,0.20354191979220987,2.728658949004237e-28,2878
text,gemini,Gemini,naive,Target2a,task10,Mental Rotation 90,Target2a,task10,Mental Rotation 90,,,3000
text,gemini,Gemini,within_scene,Target2a,task10,Mental Rotation 90,Target2a,task10,Mental Rotation 90,,,2509
text,gemini,Gemini,naive,Target2a,task10,Mental Rotation 90,Target2b,task11,Mental Rotation 180,0.24903523738315,1.2537757319621042e-43,2999
text,gemini,Gemini,within_scene,Target2a,task10,Mental Rotation 90,Target2b,task11,Mental Rotation 180,0.20886514328359043,1.562067124191876e-28,2755
text,gemini,Gemini,naive,Target2b,task11,Mental Rotation 180,Task1,task1,Object Categorization,,,0
text,gemini,Gemini,within_scene,Target2b,task11,Mental Rotation 180,Task1,task1,Object Categorization,,,0
text,gemini,Gemini,naive,Target2b,task11,Mental Rotation 180,Task2,task9,Cluster Count,-0.13625045268574767,6.777616981409603e-14,2998
text,gemini,Gemini,within_scene,Target2b,task11,Mental Rotation 180,Task2,task9,Cluster Count,-0.1553350137902385,2.8366950685882164e-17,2928
text,gemini,Gemini,naive,Target2b,task11,Mental Rotation 180,Task3,task3,Column Count,0.1970307021474325,1.2521324280317557e-27,2999
text,gemini,Gemini,within_scene,Target2b,task11,Mental Rotation 180,Task3,task3,Column Count,0.16875681137182946,1.324874066559286e-18,2685
text,gemini,Gemini,naive,Target2b,task11,Mental Rotation 180,Task4,task4,Layer Count,0.07067081438063168,0.00010733415709185547,2999
text,gemini,Gemini,within_scene,Target2b,task11,Mental Rotation 180,Task4,task4,Layer Count,0.07049929156424124,0.00011215417556245155,2997
text,gemini,Gemini,naive,Target2b,task11,Mental Rotation 180,Task5,task5,Visible Object Count,0.20730507256460093,1.8478439046704105e-30,2998
text,gemini,Gemini,within_scene,Target2b,task11,Mental Rotation 180,Task5,task5,Visible Object Count,0.18702808762093404,2.2640969870669222e-23,2789
text,gemini,Gemini,naive,Target2b,task11,Mental Rotation 180,Task6,task2,Top Layer,0.09250204280803548,3.885737599976275e-07,2999
text,gemini,Gemini,within_scene,Target2b,task11,Mental Rotation 180,Task6,task2,Top Layer,0.09129629934794897,5.643574931387131e-07,2993
text,gemini,Gemini,naive,Target2b,task11,Mental Rotation 180,Task7,task6,Direct Support,0.11944267807864417,5.3151372665116326e-11,2999
text,gemini,Gemini,within_scene,Target2b,task11,Mental Rotation 180,Task7,task6,Direct Support,0.11061616066338556,1.6285560140125384e-09,2957
text,gemini,Gemini,naive,Target2b,task11,Mental Rotation 180,Task8,task7,Support Column,0.18169123202837506,1.1318220292513355e-23,2999
text,gemini,Gemini,within_scene,Target2b,task11,Mental Rotation 180,Task8,task7,Support Column,0.1728182534403076,3.586707851718969e-21,2944
text,gemini,Gemini,naive,Target2b,task11,Mental Rotation 180,Task9,task8,Hidden Object Count,0.23888207176171328,3.5008489939542512e-40,2999
text,gemini,Gemini,within_scene,Target2b,task11,Mental Rotation 180,Task9,task8,Hidden Object Count,0.22143378818797538,1.60885824946257e-33,2898
text,gemini,Gemini,naive,Target2b,task11,Mental Rotation 180,Target1,main,Object Counting,0.1944004071724363,6.311299099059533e-27,2999
text,gemini,Gemini,within_scene,Target2b,task11,Mental Rotation 180,Target1,main,Object Counting,0.18094124325857527,2.4669451059161346e-22,2841
text,gemini,Gemini,naive,Target2b,task11,Mental Rotation 180,Target2a,task10,Mental Rotation 90,0.24903523738315003,1.2537757319622157e-43,2999
text,gemini,Gemini,within_scene,Target2b,task11,Mental Rotation 180,Target2a,task10,Mental Rotation 90,0.2088651432835904,1.562067124191876e-28,2755
text,gemini,Gemini,naive,Target2b,task11,Mental Rotation 180,Target2b,task11,Mental Rotation 180,,,2999
text,gemini,Gemini,within_scene,Target2b,task11,Mental Rotation 180,Target2b,task11,Mental Rotation 180,,,2384
text,glm,GLM,naive,Target2a,task10,Mental Rotation 90,Task1,task1,Object Categorization,,,0
text,glm,GLM,within_scene,Target2a,task10,Mental Rotation 90,Task1,task1,Object Categorization,,,0
text,glm,GLM,naive,Target2a,task10,Mental Rotation 90,Task2,task9,Cluster Count,-0.0312563957337462,0.08695417526930534,3000
text,glm,GLM,within_scene,Target2a,task10,Mental Rotation 90,Task2,task9,Cluster Count,-0.033110360489553126,0.07230888656025998,2947
text,glm,GLM,naive,Target2a,task10,Mental Rotation 90,Task3,task3,Column Count,-0.02789257868955646,0.12666159464778115,3000
text,glm,GLM,within_scene,Target2a,task10,Mental Rotation 90,Task3,task3,Column Count,-0.03056564565530734,0.109363004551673,2745
text,glm,GLM,naive,Target2a,task10,Mental Rotation 90,Task4,task4,Layer Count,-0.04462335043100046,0.01451252642599147,3000
text,glm,GLM,within_scene,Target2a,task10,Mental Rotation 90,Task4,task4,Layer Count,-0.044468043781783574,0.014908849650229417,2997
text,glm,GLM,naive,Target2a,task10,Mental Rotation 90,Task5,task5,Visible Object Count,-0.032912414924012645,0.07147868736987578,3000
text,glm,GLM,within_scene,Target2a,task10,Mental Rotation 90,Task5,task5,Visible Object Count,-0.03490785620325929,0.06315800055193263,2834
text,glm,GLM,naive,Target2a,task10,Mental Rotation 90,Task6,task2,Top Layer,0.006884873778667477,0.7062127103493279,3000
text,glm,GLM,within_scene,Target2a,task10,Mental Rotation 90,Task6,task2,Top Layer,0.006707378877437929,0.7136765362673748,2995
text,glm,GLM,naive,Target2a,task10,Mental Rotation 90,Task7,task6,Direct Support,-0.017814707683662855,0.3293507350072328,3000
text,glm,GLM,within_scene,Target2a,task10,Mental Rotation 90,Task7,task6,Direct Support,-0.018456167975263407,0.31442077972120597,2973
text,glm,GLM,naive,Target2a,task10,Mental Rotation 90,Task8,task7,Support Column,0.03939771798691492,0.03094024812612318,3000
text,glm,GLM,within_scene,Target2a,task10,Mental Rotation 90,Task8,task7,Support Column,0.038155879045284655,0.03820742817365851,2951
text,glm,GLM,naive,Target2a,task10,Mental Rotation 90,Task9,task8,Hidden Object Count,0.04321490484563735,0.017928224622448814,3000
text,glm,GLM,within_scene,Target2a,task10,Mental Rotation 90,Task9,task8,Hidden Object Count,0.04134453903333164,0.025198741754002996,2931
text,glm,GLM,naive,Target2a,task10,Mental Rotation 90,Target1,main,Object Counting,-0.03626943005181349,0.04699068695921215,3000
text,glm,GLM,within_scene,Target2a,task10,Mental Rotation 90,Target1,main,Object Counting,-0.037865128020194705,0.042235090824004236,2878
text,glm,GLM,naive,Target2a,task10,Mental Rotation 90,Target2a,task10,Mental Rotation 90,,,3000
text,glm,GLM,within_scene,Target2a,task10,Mental Rotation 90,Target2a,task10,Mental Rotation 90,,,2509
text,glm,GLM,naive,Target2a,task10,Mental Rotation 90,Target2b,task11,Mental Rotation 180,0.15586914050137082,8.983549445089635e-18,3000
text,glm,GLM,within_scene,Target2a,task10,Mental Rotation 90,Target2b,task11,Mental Rotation 180,0.15346469756306033,5.455111582234567e-16,2756
text,glm,GLM,naive,Target2b,task11,Mental Rotation 180,Task1,task1,Object Categorization,,,0
text,glm,GLM,within_scene,Target2b,task11,Mental Rotation 180,Task1,task1,Object Categorization,,,0
text,glm,GLM,naive,Target2b,task11,Mental Rotation 180,Task2,task9,Cluster Count,-0.02197889313343242,0.22879169825545365,3000
text,glm,GLM,within_scene,Target2b,task11,Mental Rotation 180,Task2,task9,Cluster Count,-0.024139373968400053,0.19145585857619482,2930
text,glm,GLM,naive,Target2b,task11,Mental Rotation 180,Task3,task3,Column Count,-0.024705243178572426,0.17611811541615302,3000
text,glm,GLM,within_scene,Target2b,task11,Mental Rotation 180,Task3,task3,Column Count,-0.027674073596286142,0.15161191111066943,2686
text,glm,GLM,naive,Target2b,task11,Mental Rotation 180,Task4,task4,Layer Count,-0.06191933647426513,0.0006905481147528935,3000
text,glm,GLM,within_scene,Target2b,task11,Mental Rotation 180,Task4,task4,Layer Count,-0.06188129767776297,0.000698711011168301,2998
text,glm,GLM,naive,Target2b,task11,Mental Rotation 180,Task5,task5,Visible Object Count,-0.029151453630074507,0.11040739203420818,3000
text,glm,GLM,within_scene,Target2b,task11,Mental Rotation 180,Task5,task5,Visible Object Count,-0.031402989852389894,0.09717964822866086,2791
text,glm,GLM,naive,Target2b,task11,Mental Rotation 180,Task6,task2,Top Layer,0.00921783574744883,0.6137822263629904,3000
text,glm,GLM,within_scene,Target2b,task11,Mental Rotation 180,Task6,task2,Top Layer,0.009030146241275256,0.621369480801281,2994
text,glm,GLM,naive,Target2b,task11,Mental Rotation 180,Task7,task6,Direct Support,0.02731222551503797,0.13475590196659354,3000
text,glm,GLM,within_scene,Target2b,task11,Mental Rotation 180,Task7,task6,Direct Support,0.026277776279171355,0.1530544894405962,2958
text,glm,GLM,naive,Target2b,task11,Mental Rotation 180,Task8,task7,Support Column,-0.01794582741672096,0.3258028984029975,3000
text,glm,GLM,within_scene,Target2b,task11,Mental Rotation 180,Task8,task7,Support Column,-0.019284307782512736,0.2954820891546227,2945
