group,model,display_name,task,source_task,task_name,accuracy,n_correct,n_incorrect,n,binom_se,ci_low_wilson,ci_high_wilson,chance_level,chance_adjusted_accuracy,chance_adjusted_ci_low,chance_adjusted_ci_high,above_chance_p
mcq345,human,Human,Task1,task1,Object Categorization,0.9776666666666667,2933,67,3000,0.0026978111841241188,0.9717362601880556,0.9823753014868345,0.2,0.9720833333333334,0.9646703252350693,0.977969126858543,0.0
mcq345,human,Human,Task2,task9,Cluster Count,0.9116666666666666,2735,265,3000,0.00518107310491934,0.9009781331285008,0.9213022427741434,0.2,0.8895833333333333,0.876222666410626,0.9016278034676791,0.0
mcq345,human,Human,Task3,task3,Column Count,0.936,2808,192,3000,0.004468556814006059,0.9266718894182846,0.9442129135620059,0.2,0.9199999999999999,0.9083398617728558,0.9302661419525073,0.0
mcq345,human,Human,Task4,task4,Layer Count,0.994,2982,18,3000,0.001409964538561166,0.990535122523481,0.9962013285596921,0.2,0.9925,0.9881689031543511,0.995251660699615,0.0
mcq345,human,Human,Task5,task5,Visible Object Count,0.9943333333333333,2983,17,3000,0.0013704689654221284,0.9909432916690223,0.9964589734837076,0.2,0.9929166666666667,0.9886791145862778,0.9955737168546344,0.0
mcq345,human,Human,Task6,task2,Top Layer,0.9956666666666667,2987,13,3000,0.0011992435887613385,0.9925997167063182,0.9974658047246389,0.2,0.9945833333333334,0.9907496458828976,0.9968322559057985,0.0
mcq345,human,Human,Task7,task6,Direct Support,0.976,2928,72,3000,0.0027942798714516784,0.9698842107177288,0.9808982806093771,0.2,0.97,0.962355263397161,0.9761228507617215,0.0
mcq345,human,Human,Task8,task7,Support Column,0.9766666666666667,2930,70,3000,0.0027561379312901397,0.9706241754329286,0.9814899440332912,0.2,0.9708333333333332,0.9632802192911607,0.976862430041614,0.0
mcq345,human,Human,Task9,task8,Hidden Object Count,0.9146666666666666,2744,256,3000,0.005100704381277668,0.9041313010167167,0.9241414015119387,0.2,0.8933333333333332,0.8801641262708959,0.9051767518899234,0.0
mcq345,human,Human,Target1,main,Object Counting,0.8616666666666667,2585,415,3000,0.0063033647687094395,0.8488487797086425,0.8735594857604824,0.2,0.8270833333333333,0.811060974635803,0.8419493572006028,0.0
mcq345,human,Human,Target2a,task10,Mental Rotation 90,0.9646666666666667,2894,106,3000,0.0033707016524204022,0.9574433671989958,0.9707014457631792,0.2,0.9558333333333332,0.9468042089987446,0.9633768072039739,0.0
mcq345,human,Human,Target2b,task11,Mental Rotation 180,0.9706666666666667,2912,88,3000,0.003080740651687993,0.9640003965255259,0.9761290696886713,0.2,0.9633333333333333,0.9550004956569075,0.9701613371108392,0.0
mcq345,claude3CQ,Claude 3CQ,Task1,task1,Object Categorization,0.5036666666666667,1511,1489,3000,0.00912846382760275,0.4857816321915757,0.5215423225735493,0.3333333333333333,0.25550000000000006,0.22867244828736358,0.2823134838603239,2.4106862837889225e-82
mcq345,claude3CQ,Claude 3CQ,Task2,task9,Cluster Count,0.5566666666666666,1670,1330,3000,0.009069893216734305,0.5388284284892131,0.5743599633354424,0.3333333333333333,0.33499999999999996,0.3082426427338196,0.36153994500316355,1.2501961193973427e-138
mcq345,claude3CQ,Claude 3CQ,Task3,task3,Column Count,0.37233333333333335,1117,1883,3000,0.008826120745118288,0.3552077035221683,0.38978550783757865,0.3333333333333333,0.058500000000000045,0.03281155528325246,0.08467826175636799,3.844370048810013e-06
mcq345,claude3CQ,Claude 3CQ,Task4,task4,Layer Count,0.5083333333333333,1525,1475,3000,0.009127441327403051,0.49044433093532896,0.5262010208035909,0.3333333333333333,0.26249999999999996,0.23566649640299345,0.2893015312053863,1.0331312827545966e-86
mcq345,claude3CQ,Claude 3CQ,Task5,task5,Visible Object Count,0.6306666666666667,1892,1108,3000,0.008811474001214216,0.6132393067297293,0.6477598085365353,0.3333333333333333,0.44600000000000006,0.4198589600945939,0.4716397128048029,3.84913630601478e-242
mcq345,claude3CQ,Claude 3CQ,Task6,task2,Top Layer,0.463,1389,1611,3000,0.009103680574361119,0.4452154558848219,0.48087918239437377,0.3333333333333333,0.19450000000000003,0.16782318382723288,0.22131877359156066,4.515045524124558e-49
