group,model,display_name,task,source_task,task_name,raw_label,reason,n_error,n_total,raw_proportion,chance_level,chance_adjusted_preference,above_chance_p,displayed_in_figure
mcq345,qwen,Qwen,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,597,3000,0.199,0.2,-0.0012500000000000011,0.5617060110518274,False
mcq345,claude,Claude,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,210,3000,0.07,0.2,-0.1625,1.0,False
mcq345,claude,Claude,Task1,task1,Object Categorization,drop_one_column_highlight_fallback_unique_0,Drop One Column Highlight,4,3000,0.0013333333333333333,0.2,-0.24833333333333335,1.0,False
mcq345,claude3CQ,Claude 3CQ,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,86,3000,0.028666666666666667,0.3333333333333333,-0.4569999999999999,1.0,False
mcq345,claude3CQ,Claude 3CQ,Task1,task1,Object Categorization,drop_one_column_highlight_fallback_unique_0,Drop One Column Highlight,2,3000,0.0006666666666666666,0.3333333333333333,-0.49899999999999994,1.0,False
mcq345,claude4CQ,Claude 4CQ,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,152,3000,0.050666666666666665,0.25,-0.2657777777777778,1.0,False
mcq345,gemini,Gemini,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,280,3000,0.09333333333333334,0.2,-0.13333333333333333,1.0,False
mcq345,gemini,Gemini,Task1,task1,Object Categorization,drop_one_column_highlight_fallback_unique_0,Drop One Column Highlight,32,3000,0.010666666666666666,0.2,-0.2366666666666667,1.0,False
mcq345,gemini3CQ,Gemini 3CQ,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,59,3000,0.019666666666666666,0.3333333333333333,-0.4704999999999999,1.0,False
mcq345,gemini3CQ,Gemini 3CQ,Task1,task1,Object Categorization,drop_one_column_highlight_fallback_unique_0,Drop One Column Highlight,4,3000,0.0013333333333333333,0.3333333333333333,-0.4979999999999999,1.0,False
mcq345,gemini4CQ,Gemini 4CQ,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,177,3000,0.059,0.25,-0.25466666666666665,1.0,False
mcq345,gemini4CQ,Gemini 4CQ,Task1,task1,Object Categorization,drop_one_column_highlight_fallback_unique_0,Drop One Column Highlight,13,3000,0.004333333333333333,0.25,-0.32755555555555554,1.0,False
mcq345,gpt,GPT,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,236,3000,0.07866666666666666,0.2,-0.15166666666666667,1.0,False
mcq345,gpt,GPT,Task1,task1,Object Categorization,drop_one_column_highlight_fallback_unique_0,Drop One Column Highlight,17,3000,0.005666666666666667,0.2,-0.2429166666666667,1.0,False
mcq345,gpt3CQ,GPT3CQ,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,180,3000,0.06,0.3333333333333333,-0.4099999999999999,1.0,False
mcq345,gpt4CQ,GPT4CQ,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,196,3000,0.06533333333333333,0.25,-0.24622222222222223,1.0,False
mcq345,gpt4CQ,GPT4CQ,Task1,task1,Object Categorization,drop_one_column_highlight_fallback_unique_0,Drop One Column Highlight,1,3000,0.0003333333333333333,0.25,-0.3328888888888889,1.0,False
mcq345,human,Human,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,6,3000,0.002,0.2,-0.2475,1.0,False
mcq345,qwen,Qwen,Task1,task1,Object Categorization,drop_one_column_highlight_fallback_unique_0,Drop One Column Highlight,33,3000,0.011,0.2,-0.23625,1.0,False
mcq345,qwen3CQ,Qwen 3CQ,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,94,3000,0.03133333333333333,0.3333333333333333,-0.45299999999999996,1.0,False
mcq345,qwen3CQ,Qwen 3CQ,Task1,task1,Object Categorization,drop_one_column_highlight_fallback_unique_0,Drop One Column Highlight,3,3000,0.001,0.3333333333333333,-0.49849999999999994,1.0,False
mcq345,qwen4CQ,Qwen 4CQ,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,103,3000,0.034333333333333334,0.25,-0.28755555555555556,1.0,False
mcq345,claude,Claude,Task1,task1,Object Categorization,omit_one_block,Omit One Block,260,3000,0.08666666666666667,0.2,-0.14166666666666666,1.0,False
mcq345,claude,Claude,Task1,task1,Object Categorization,omit_one_block_fallback_unique_0,Omit One Block,6,3000,0.002,0.2,-0.2475,1.0,False
mcq345,claude3CQ,Claude 3CQ,Task1,task1,Object Categorization,omit_one_block,Omit One Block,93,3000,0.031,0.3333333333333333,-0.45349999999999996,1.0,False
mcq345,claude3CQ,Claude 3CQ,Task1,task1,Object Categorization,omit_one_block_fallback_unique_0,Omit One Block,2,3000,0.0006666666666666666,0.3333333333333333,-0.49899999999999994,1.0,False
mcq345,claude4CQ,Claude 4CQ,Task1,task1,Object Categorization,omit_one_block,Omit One Block,177,3000,0.059,0.25,-0.25466666666666665,1.0,False
mcq345,gemini,Gemini,Task1,task1,Object Categorization,omit_one_block,Omit One Block,277,3000,0.09233333333333334,0.2,-0.13458333333333333,1.0,False
mcq345,gemini,Gemini,Task1,task1,Object Categorization,omit_one_block_fallback_unique_0,Omit One Block,25,3000,0.008333333333333333,0.2,-0.23958333333333334,1.0,False
mcq345,gemini3CQ,Gemini 3CQ,Task1,task1,Object Categorization,omit_one_block,Omit One Block,50,3000,0.016666666666666666,0.3333333333333333,-0.4749999999999999,1.0,False
mcq345,gemini3CQ,Gemini 3CQ,Task1,task1,Object Categorization,omit_one_block_fallback_unique_0,Omit One Block,4,3000,0.0013333333333333333,0.3333333333333333,-0.4979999999999999,1.0,False
mcq345,gemini4CQ,Gemini 4CQ,Task1,task1,Object Categorization,omit_one_block,Omit One Block,190,3000,0.06333333333333334,0.25,-0.24888888888888885,1.0,False
mcq345,gemini4CQ,Gemini 4CQ,Task1,task1,Object Categorization,omit_one_block_fallback_unique_0,Omit One Block,11,3000,0.0036666666666666666,0.25,-0.32844444444444443,1.0,False
mcq345,gpt,GPT,Task1,task1,Object Categorization,omit_one_block,Omit One Block,293,3000,0.09766666666666667,0.2,-0.12791666666666668,1.0,False
mcq345,gpt,GPT,Task1,task1,Object Categorization,omit_one_block_fallback_unique_0,Omit One Block,6,3000,0.002,0.2,-0.2475,1.0,False
mcq345,gpt3CQ,GPT3CQ,Task1,task1,Object Categorization,omit_one_block,Omit One Block,177,3000,0.059,0.3333333333333333,-0.4114999999999999,1.0,False
mcq345,gpt4CQ,GPT4CQ,Task1,task1,Object Categorization,omit_one_block,Omit One Block,234,3000,0.078,0.25,-0.2293333333333333,1.0,False
