group,model,display_name,task,source_task,task_name,factor,low_level,high_level,delta_high_minus_low,se,p_value,ci_low,ci_high,n_low,n_high
text,claude,Claude,Task2,task9,Cluster Count,perspective,0.0,1.0,0.013999999999999957,0.017970029158721756,0.4359970425986114,-0.021221257151094686,0.0492212571510946,1500,1500
text,claude,Claude,Task2,task9,Cluster Count,offset,3.0,12.5,-0.006000000000000005,0.01797151403966618,0.7385072817640514,-0.04122416751774572,0.02922416751774571,1500,1500
text,claude,Claude,Task3,task3,Column Count,perspective,0.0,1.0,-0.053333333333333344,0.014334876914986595,0.00020249483037374167,-0.08142969208670707,-0.025236974579959617,1500,1500
text,claude,Claude,Task3,task3,Column Count,offset,3.0,12.5,-0.0040000000000000036,0.014367746515899721,0.7807234854637187,-0.03216078317116346,0.02416078317116345,1500,1500
text,claude,Claude,Task4,task4,Layer Count,perspective,0.0,1.0,-0.008666666666666711,0.01763140673896979,0.6230755404175228,-0.0432242238750475,0.025890890541714076,1500,1500
text,claude,Claude,Task4,task4,Layer Count,offset,3.0,12.5,0.0020000000000000018,0.017632079375720384,0.9096975555148143,-0.03255887557641195,0.03655887557641195,1500,1500
text,claude,Claude,Task5,task5,Visible Object Count,perspective,0.0,1.0,-0.008666666666666656,0.013287613407845187,0.514298634727244,-0.034710388946043225,0.01737705561270991,1500,1500
text,claude,Claude,Task5,task5,Visible Object Count,offset,3.0,12.5,0.008666666666666656,0.013287613407845187,0.514298634727244,-0.01737705561270991,0.034710388946043225,1500,1500
text,claude,Claude,Task6,task2,Top Layer,perspective,0.0,1.0,0.010666666666666658,0.016112917833768725,0.508025488327793,-0.02091465228752004,0.04224798562085336,1500,1500
text,claude,Claude,Task6,task2,Top Layer,offset,3.0,12.5,-0.010666666666666658,0.016112917833768725,0.508025488327793,-0.04224798562085336,0.02091465228752004,1500,1500
text,claude,Claude,Task7,task6,Direct Support,perspective,0.0,1.0,0.07466666666666666,0.016484258657436995,6.142407738028118e-06,0.04235751969809015,0.10697581363524317,1500,1500
text,claude,Claude,Task7,task6,Direct Support,offset,3.0,12.5,-0.013333333333333364,0.01653877549288167,0.4201994223243042,-0.04574933329938144,0.019082666632714712,1500,1500
text,claude,Claude,Task8,task7,Support Column,perspective,0.0,1.0,0.028000000000000025,0.01676267654294073,0.09494912829853051,-0.004854846024163806,0.060854846024163856,1500,1500
text,claude,Claude,Task8,task7,Support Column,offset,3.0,12.5,-0.009333333333333305,0.016769608705842275,0.577868006321393,-0.04220176639678416,0.023535099730117554,1500,1500
text,claude,Claude,Task9,task8,Hidden Object Count,perspective,0.0,1.0,-0.002666666666666595,0.018256281773107095,0.8838771776952685,-0.0384489789419565,0.03311564560862331,1500,1500
text,claude,Claude,Task9,task8,Hidden Object Count,offset,3.0,12.5,-0.01200000000000001,0.018255031199902298,0.5110044104409,-0.04777986115180851,0.02377986115180849,1500,1500
text,claude,Claude,Target1,main,Object Counting,perspective,0.0,1.0,-0.020000000000000018,0.01269436247446727,0.1152463825253583,-0.04488095044995587,0.0048809504499558315,1500,1500
text,claude,Claude,Target1,main,Object Counting,offset,3.0,12.5,0.006666666666666654,0.012699032885095506,0.5996398479947244,-0.018223437788120536,0.031556771121453844,1500,1500
text,claude,Claude,Target2a,task10,Mental Rotation 90,perspective,0.0,1.0,-0.03866666666666668,0.0178904497878213,0.03075095901009696,-0.07373194825079643,-0.0036013850825369342,1500,1500
text,claude,Claude,Target2a,task10,Mental Rotation 90,offset,3.0,12.5,0.018666666666666665,0.017901136020308378,0.2971415230479143,-0.016419559933137755,0.053752893266471084,1500,1500
text,claude,Claude,Target2b,task11,Mental Rotation 180,perspective,0.0,1.0,-0.031333333333333324,0.017569042726427363,0.07461587542418435,-0.06576865707713095,0.0031019904104643073,1500,1500
text,claude,Claude,Target2b,task11,Mental Rotation 180,offset,3.0,12.5,0.008666666666666656,0.017577647344316147,0.622013062972953,-0.02578552212819299,0.0431188554615263,1500,1500
text,gemini,Gemini,Task2,task9,Cluster Count,perspective,0.0,1.0,0.01364909939959974,0.018224602269453567,0.4539532764818377,-0.02207112104852925,0.04936931984772873,1500,1499
text,gemini,Gemini,Task2,task9,Cluster Count,offset,3.0,12.5,0.0016450967311540943,0.018226273117432284,0.9280869284722764,-0.03407839857901318,0.03736859204132137,1500,1499
text,gemini,Gemini,Task3,task3,Column Count,perspective,0.0,1.0,-0.04466666666666666,0.012810646654419734,0.0004961944142112631,-0.06977553410932934,-0.019557799224003983,1500,1500
text,gemini,Gemini,Task3,task3,Column Count,offset,3.0,12.5,0.011333333333333334,0.012834925205008412,0.37730317141557024,-0.013823120068483151,0.03648978673514982,1500,1500
text,gemini,Gemini,Task4,task4,Layer Count,perspective,0.0,1.0,-0.011333333333333306,0.016700042188196408,0.4974177447853376,-0.04406541602219827,0.021398749355531654,1500,1500
text,gemini,Gemini,Task4,task4,Layer Count,offset,3.0,12.5,0.012666666666666715,0.016699722611618978,0.4482139582585398,-0.02006478965210648,0.04539812298543991,1500,1500
text,gemini,Gemini,Task5,task5,Visible Object Count,perspective,0.0,1.0,-0.0254600845007783,0.0139481770921282,0.06805041536216491,-0.052798511601349574,0.0018783425997929704,1499,1500
text,gemini,Gemini,Task5,task5,Visible Object Count,offset,3.0,12.5,0.0041196353124305085,0.01395550571994643,0.7678631927100292,-0.023233155898664495,0.03147242652352551,1500,1499
text,gemini,Gemini,Task6,task2,Top Layer,perspective,0.0,1.0,0.04266666666666663,0.01815027985485559,0.018800354520130392,0.007092118151149671,0.07824121518218359,1500,1500
text,gemini,Gemini,Task6,task2,Top Layer,offset,3.0,12.5,-0.008000000000000007,0.01816641216290199,0.6596986221701796,-0.043606167839287904,0.02760616783928789,1500,1500
text,gemini,Gemini,Task7,task6,Direct Support,perspective,0.0,1.0,0.030666666666666675,0.018235010364531987,0.09272213684540288,-0.005073953647816022,0.06640728698114937,1500,1500
text,gemini,Gemini,Task7,task6,Direct Support,offset,3.0,12.5,-0.005333333333333357,0.01824334963202912,0.7700438693314147,-0.04109029861211043,0.030423631945443716,1500,1500
text,gemini,Gemini,Task8,task7,Support Column,perspective,0.0,1.0,0.028666666666666674,0.01771291164377013,0.10568053530479354,-0.006050640155122779,0.06338397348845612,1500,1500
text,gemini,Gemini,Task8,task7,Support Column,offset,3.0,12.5,-0.0020000000000000018,0.017720609846792187,0.9101467801410507,-0.036732395299712686,0.03273239529971268,1500,1500
text,gemini,Gemini,Task9,task8,Hidden Object Count,perspective,0.0,1.0,0.02733333333333332,0.01810481838881169,0.13121848169415654,-0.008152110708737587,0.06281877737540423,1500,1500
text,gemini,Gemini,Task9,task8,Hidden Object Count,offset,3.0,12.5,-0.011333333333333362,0.018110516521824355,0.5315020229027038,-0.04682994571610909,0.02416327904944237,1500,1500
text,gemini,Gemini,Target1,main,Object Counting,perspective,0.0,1.0,-0.028666666666666646,0.012972239622183919,0.02719155086423928,-0.05409225632614713,-0.003241077007186167,1500,1500
text,gemini,Gemini,Target1,main,Object Counting,offset,3.0,12.5,-0.011333333333333334,0.01298115041524934,0.38269993911334277,-0.03677638814722204,0.014109721480555372,1500,1500
