group,model,display_name,factor,factor_name,bin,accuracy,n_correct,n_incorrect,n,binom_se,ci_low_wilson,ci_high_wilson,chance_adjusted_accuracy,chance_adjusted_ci_low,chance_adjusted_ci_high
image,gemini-image,Gemini Image,total_blocks,Number of objects,4-8,0.43843283582089554,235,301,536,0.021432359944464192,0.39701097204513525,0.48073094336116173,0.43843283582089554,0.39701097204513525,0.48073094336116173
image,gemini-image,Gemini Image,total_blocks,Number of objects,9-12,0.16498316498316498,147,744,891,0.012434507227208675,0.14205965369382753,0.19078316452115043,0.16498316498316498,0.14205965369382753,0.19078316452115043
image,gemini-image,Gemini Image,total_blocks,Number of objects,13-18,0.060514372163388806,40,621,661,0.0092741391227199,0.04475206037421266,0.08135557187984606,0.060514372163388806,0.04475206037421266,0.08135557187984606
image,gemini-image,Gemini Image,total_blocks,Number of objects,19-25,0.024734982332155476,14,552,566,0.0065284323765646135,0.014790131898848008,0.04108785243925577,0.024734982332155476,0.014790131898848008,0.04108785243925577
image,gemini-image,Gemini Image,total_blocks,Number of objects,26+,0.014450867052023121,5,341,346,0.0064157590239934505,0.006187833842966542,0.03337750086851431,0.014450867052023121,0.006187833842966542,0.03337750086851431
image,gemini-image,Gemini Image,num_hidden_blocks,Number of hidden objects,0,0.2488479262672811,378,1141,1519,0.011093077862847687,0.22775726392130807,0.27120572737076065,0.2488479262672811,0.22775726392130807,0.27120572737076065
image,gemini-image,Gemini Image,num_hidden_blocks,Number of hidden objects,1,0.06653620352250489,34,477,511,0.011024713134289665,0.04800130112364058,0.09153987037454449,0.06653620352250489,0.04800130112364058,0.09153987037454449
image,gemini-image,Gemini Image,num_hidden_blocks,Number of hidden objects,2-3,0.04408352668213457,19,412,431,0.009888023804094944,0.028400665479626705,0.06782195903467919,0.04408352668213457,0.028400665479626705,0.06782195903467919
image,gemini-image,Gemini Image,num_hidden_blocks,Number of hidden objects,4+,0.01855287569573284,10,529,539,0.0058122553810359455,0.010108069455557195,0.03381192488533341,0.01855287569573284,0.010108069455557195,0.03381192488533341
image,gemini-image,Gemini Image,num_layers,Number of layers,1,0.4669811320754717,99,113,212,0.0342651807949454,0.40100680688814794,0.5341308125512929,0.4669811320754717,0.40100680688814794,0.5341308125512929
image,gemini-image,Gemini Image,num_layers,Number of layers,2,0.21391752577319587,249,915,1164,0.012019343585387665,0.19132063587840498,0.23839654494474766,0.21391752577319587,0.19132063587840498,0.23839654494474766
image,gemini-image,Gemini Image,num_layers,Number of layers,3,0.07662835249042145,80,964,1044,0.008232519393257991,0.06199976731094012,0.09436127046423504,0.07662835249042145,0.06199976731094012,0.09436127046423504
image,gemini-image,Gemini Image,num_layers,Number of layers,4,0.022413793103448276,13,567,580,0.006146405591350636,0.01314459060929142,0.03796790291634978,0.022413793103448276,0.01314459060929142,0.03796790291634978
image,gemini-image,Gemini Image,num_columns,Number of columns,3-5,0.559322033898305,132,104,236,0.032317341745843865,0.49553201453704193,0.6212117029831881,0.559322033898305,0.49553201453704193,0.6212117029831881
image,gemini-image,Gemini Image,num_columns,Number of columns,6-8,0.20961538461538462,218,822,1040,0.012621592272308326,0.1859682005739824,0.2353999457041503,0.20961538461538462,0.1859682005739824,0.2353999457041503
image,gemini-image,Gemini Image,num_columns,Number of columns,9-11,0.0625,76,1140,1216,0.006941588411239364,0.05022403422939056,0.07753156944898865,0.0625,0.05022403422939056,0.07753156944898865
image,gemini-image,Gemini Image,num_columns,Number of columns,12-14,0.02952755905511811,15,493,508,0.007510580766330135,0.017974155946075827,0.048143174102908075,0.02952755905511811,0.017974155946075827,0.048143174102908075
image,gemini-image,Gemini Image,fill_ratio,Fill ratio,Dense,0.1952662721893491,165,680,845,0.013636765269785347,0.16994225727423332,0.22334855222426434,0.1952662721893491,0.16994225727423332,0.22334855222426434
image,gemini-image,Gemini Image,fill_ratio,Fill ratio,Medium,0.14612546125461254,198,1157,1355,0.009596002043737997,0.12831771950092966,0.16593409027586845,0.14612546125461254,0.12831771950092966,0.16593409027586845
image,gemini-image,Gemini Image,fill_ratio,Fill ratio,Sparse,0.0975,78,722,800,0.010487716028764318,0.07882680292525769,0.12002033312741738,0.0975,0.07882680292525769,0.12002033312741738
image,hunyuan,hunyuan,total_blocks,Number of objects,4-8,0.22388059701492538,120,416,536,0.018004874717986355,0.19062688443347925,0.2610641301159738,0.22388059701492538,0.19062688443347925,0.2610641301159738
