group,model,display_name,object_type,accuracy,n_correct,n_incorrect,n,ci_low_wilson,ci_high_wilson,chance_adjusted_accuracy
text,claude,Claude,cube,0.15903614457831325,264,1396,1660,0.14223313586615272,0.1774136382017633,0.15903614457831325
text,claude,Claude,factory_box,0.12297297297297298,91,649,740,0.1012391315211159,0.14860115705645227,0.12297297297297298
text,claude,Claude,soup_can,0.08333333333333333,25,275,300,0.05708047735632001,0.12012238097512637,0.08333333333333333
text,claude,Claude,spam,0.14,42,258,300,0.1052707698510638,0.18383249974730587,0.14
text,gemini,Gemini,cube,0.1608433734939759,267,1393,1660,0.14395589441369258,0.1792969921591638,0.1608433734939759
text,gemini,Gemini,factory_box,0.10270270270270271,76,664,740,0.08284228996164994,0.1266668313351423,0.10270270270270271
text,gemini,Gemini,soup_can,0.14666666666666667,44,256,300,0.11110461424509804,0.19116340961996847,0.14666666666666667
text,gemini,Gemini,spam,0.19333333333333333,58,242,300,0.15263659272359453,0.24178471100834997,0.19333333333333333
text,glm,GLM,cube,0.03132530120481928,52,1608,1660,0.023967537058091487,0.04084728666070482,0.03132530120481928
text,glm,GLM,factory_box,0.008108108108108109,6,734,740,0.0037211132921424316,0.017575894027695556,0.008108108108108109
text,glm,GLM,soup_can,0.08666666666666667,26,274,300,0.05982848995477098,0.12395674551002385,0.08666666666666667
text,glm,GLM,spam,0.07,21,279,300,0.04623659396060609,0.10463675583744661,0.07
text,gpt,GPT,cube,0.10060240963855421,167,1493,1660,0.08704144437995616,0.11600769202822116,0.10060240963855421
text,gpt,GPT,factory_box,0.031081081081081083,23,717,740,0.020798688522177394,0.04620697504920662,0.031081081081081083
text,gpt,GPT,soup_can,0.08,24,276,300,0.05434646978454494,0.11627401141355304,0.08
text,gpt,GPT,spam,0.12,36,264,300,0.08795033863213894,0.16165866816614016,0.12
text,human,Human,cube,0.8295180722891566,1377,283,1660,0.8106714953817407,0.8468430180190543,0.8295180722891566
text,human,Human,factory_box,0.7824324324324324,579,161,740,0.751287147723944,0.8106604497215337,0.7824324324324324
text,human,Human,soup_can,0.8666666666666667,260,40,300,0.8235273610289742,0.9005341236393531,0.8666666666666667
text,human,Human,spam,0.8266666666666667,248,52,300,0.7797729263389721,0.865300032729174,0.8266666666666667
text,kimi,Kimi,cube,0.14518072289156628,241,1419,1660,0.12905268652040594,0.1629472250096339,0.14518072289156628
text,kimi,Kimi,factory_box,0.060810810810810814,45,695,740,0.04575544091922449,0.08040260133063087,0.060810810810810814
text,kimi,Kimi,soup_can,0.23,69,231,300,0.18597107673744184,0.28085637546133546,0.23
text,kimi,Kimi,spam,0.17666666666666667,53,247,300,0.13767606902581717,0.2238333490393852,0.17666666666666667
text,qwen3b,Qwen3B,cube,0.012650602409638554,21,1639,1660,0.008289003279311976,0.019262657888433798,0.012650602409638554
text,qwen3b,Qwen3B,factory_box,0.02972972972972973,22,718,740,0.019713604996322603,0.044603314089676355,0.02972972972972973
text,qwen3b,Qwen3B,soup_can,0.016666666666666666,5,295,300,0.0071393720427721935,0.038415943621705605,0.016666666666666666
text,qwen3b,Qwen3B,spam,0.05333333333333334,16,284,300,0.03309162538404202,0.08486983874726851,0.05333333333333334
text,qwen,Qwen,cube,0.21746987951807228,361,1299,1660,0.19828935188633787,0.2379550598413169,0.21746987951807228
text,qwen,Qwen,factory_box,0.05405405405405406,40,700,740,0.0399444002935469,0.07276991952938315,0.05405405405405406
text,qwen,Qwen,soup_can,0.16666666666666666,50,250,300,0.1287647123620242,0.21299757430313287,0.16666666666666666
text,qwen,Qwen,spam,0.27,81,219,300,0.22290322460653217,0.32291275319242624,0.27
text,vla0,vla0,cube,0.030120481927710843,50,1610,1660,0.022921252938564264,0.039489495776938464,0.030120481927710843
text,vla0,vla0,factory_box,0.06621621621621622,49,691,740,0.05044676654618611,0.08646625364520949,0.06621621621621622
text,vla0,vla0,soup_can,0.006666666666666667,2,298,300,0.00183011003297108,0.02397807423146144,0.006666666666666667
text,vla0,vla0,spam,0.08,24,276,300,0.05434646978454494,0.11627401141355304,0.08
