group,model,display_name,visible_correct,hidden_correct,cell,main_accuracy,main_correct,main_incorrect,n,share_of_scenes,overall_main_accuracy,overall_main_correct,overall_n
image,gemini-image,Gemini Image,1,1,V+ H+,0.2949526813880126,187,447,634,0.21133333333333335,0.147,441,3000
image,gemini-image,Gemini Image,1,0,V+ H-,0.09799554565701558,44,405,449,0.14966666666666667,0.147,441,3000
image,gemini-image,Gemini Image,0,1,V- H+,0.18421052631578946,140,620,760,0.25333333333333335,0.147,441,3000
image,gemini-image,Gemini Image,0,0,V- H-,0.06050129645635264,70,1087,1157,0.38566666666666666,0.147,441,3000
image,hunyuan,hunyuan,1,1,V+ H+,0.09375,15,145,160,0.05333333333333334,0.058666666666666666,176,3000
image,hunyuan,hunyuan,1,0,V+ H-,0.12121212121212122,20,145,165,0.055,0.058666666666666666,176,3000
image,hunyuan,hunyuan,0,1,V- H+,0.0992063492063492,75,681,756,0.252,0.058666666666666666,176,3000
image,hunyuan,hunyuan,0,0,V- H-,0.034392912975508075,66,1853,1919,0.6396666666666667,0.058666666666666666,176,3000
image,qwen-image-edit,Qwen Image Edit,1,1,V+ H+,0.23809523809523808,10,32,42,0.014,0.12033333333333333,361,3000
image,qwen-image-edit,Qwen Image Edit,1,0,V+ H-,0.10714285714285714,6,50,56,0.018666666666666668,0.12033333333333333,361,3000
image,qwen-image-edit,Qwen Image Edit,0,1,V- H+,0.20107238605898123,225,894,1119,0.373,0.12033333333333333,361,3000
image,qwen-image-edit,Qwen Image Edit,0,0,V- H-,0.06730229949523275,120,1663,1783,0.5943333333333334,0.12033333333333333,361,3000
