group,model,display_name,object_type,accuracy,n_correct,n_incorrect,n,ci_low_wilson,ci_high_wilson,chance_adjusted_accuracy
trained_text,Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,cube,0.025903614457831327,43,1617,1660,0.019287397723302756,0.03470908848067243,0.025903614457831327
trained_text,Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,factory_box,0.032432432432432434,24,716,740,0.021889683339921633,0.04780472471684744,0.032432432432432434
trained_text,Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,soup_can,0.03666666666666667,11,289,300,0.02059509146818067,0.06445448699638771,0.03666666666666667
trained_text,Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,spam,0.03,9,291,300,0.015861673205964575,0.05602315099190695,0.03
trained_text,Qwen2.5-VL-7B-Instruct,Qwen2.5-VL-7B-Instruct,cube,0.03614457831325301,60,1600,1660,0.028183181969811927,0.04624794176215871,0.03614457831325301
trained_text,Qwen2.5-VL-7B-Instruct,Qwen2.5-VL-7B-Instruct,factory_box,0.02702702702702703,20,720,740,0.01756272522708769,0.041376704888141144,0.02702702702702703
trained_text,Qwen2.5-VL-7B-Instruct,Qwen2.5-VL-7B-Instruct,soup_can,0.05333333333333334,16,284,300,0.03309162538404202,0.08486983874726851,0.05333333333333334
trained_text,Qwen2.5-VL-7B-Instruct,Qwen2.5-VL-7B-Instruct,spam,0.11333333333333333,34,266,300,0.082244014467736,0.15420023806384625,0.11333333333333333
trained_text,dapo-32b-tight,dapo-32b-tight,cube,0.6608433734939759,1097,563,1660,0.6377206461414613,0.6832233667982321,0.6608433734939759
trained_text,dapo-32b-tight,dapo-32b-tight,factory_box,0.5824324324324325,431,309,740,0.54656347409175,0.6174499395167388,0.5824324324324325
trained_text,dapo-32b-tight,dapo-32b-tight,soup_can,0.56,168,132,300,0.503420997979743,0.6150617904205289,0.56
trained_text,dapo-32b-tight,dapo-32b-tight,spam,0.6033333333333334,181,119,300,0.5470035716380164,0.657050119495785,0.6033333333333334
trained_text,dapo-7b-tight,dapo-7b-tight,cube,0.5319277108433735,883,777,1660,0.5078775423079408,0.5558304452793393,0.5319277108433735
trained_text,dapo-7b-tight,dapo-7b-tight,factory_box,0.5067567567567568,375,365,740,0.4707927568705639,0.5426509655563616,0.5067567567567568
trained_text,dapo-7b-tight,dapo-7b-tight,soup_can,0.48333333333333334,145,155,300,0.42735340100317437,0.5397347133300835,0.48333333333333334
trained_text,dapo-7b-tight,dapo-7b-tight,spam,0.3933333333333333,118,182,300,0.33973815664027024,0.44962577509258,0.3933333333333333
trained_text,human,Human,cube,0.8295180722891566,1377,283,1660,0.8106714953817407,0.8468430180190543,0.8295180722891566
trained_text,human,Human,factory_box,0.7824324324324324,579,161,740,0.751287147723944,0.8106604497215337,0.7824324324324324
trained_text,human,Human,soup_can,0.8666666666666667,260,40,300,0.8235273610289742,0.9005341236393531,0.8666666666666667
trained_text,human,Human,spam,0.8266666666666667,248,52,300,0.7797729263389721,0.865300032729174,0.8266666666666667
trained_text,sft-32b-cot-100pct,sft-32b-cot-100pct,cube,0.463855421686747,770,890,1660,0.4399762167151805,0.48790153318601204,0.463855421686747
trained_text,sft-32b-cot-100pct,sft-32b-cot-100pct,factory_box,0.4486486486486487,332,408,740,0.4131705093402439,0.48465720021512393,0.4486486486486487
trained_text,sft-32b-cot-100pct,sft-32b-cot-100pct,soup_can,0.48,144,156,300,0.4240757908015887,0.5364299463983206,0.48
trained_text,sft-32b-cot-100pct,sft-32b-cot-100pct,spam,0.52,156,144,300,0.46357005360167935,0.5759242091984114,0.52
trained_text,sft-32b-plain-100pct,sft-32b-plain-100pct,cube,0.43012048192771085,714,946,1660,0.40649170362725134,0.4540719461817209,0.43012048192771085
trained_text,sft-32b-plain-100pct,sft-32b-plain-100pct,factory_box,0.36486486486486486,270,470,740,0.3309606095805569,0.40016494188093715,0.36486486486486486
trained_text,sft-32b-plain-100pct,sft-32b-plain-100pct,soup_can,0.3333333333333333,100,200,300,0.2823925597902556,0.3884885835423229,0.3333333333333333
trained_text,sft-32b-plain-100pct,sft-32b-plain-100pct,spam,0.3933333333333333,118,182,300,0.33973815664027024,0.44962577509258,0.3933333333333333
trained_text,sft-7b-cot-100pct,sft-7b-cot-100pct,cube,0.43253012048192774,718,942,1660,0.4088797608586462,0.45649203895691326,0.43253012048192774
trained_text,sft-7b-cot-100pct,sft-7b-cot-100pct,factory_box,0.3972972972972973,294,446,740,0.36265752805747176,0.4329978910532637,0.3972972972972973
trained_text,sft-7b-cot-100pct,sft-7b-cot-100pct,soup_can,0.41333333333333333,124,176,300,0.35904776475728883,0.469810429775652,0.41333333333333333
trained_text,sft-7b-cot-100pct,sft-7b-cot-100pct,spam,0.2966666666666667,89,211,300,0.2478105484553788,0.35066444641036704,0.2966666666666667
trained_text,sft-7b-plain-100pct,sft-7b-plain-100pct,cube,0.4319277108433735,717,943,1660,0.40828269285912927,0.45588706945478336,0.4319277108433735
trained_text,sft-7b-plain-100pct,sft-7b-plain-100pct,factory_box,0.3891891891891892,288,452,740,0.35471797402431726,0.4248049781741079,0.3891891891891892
trained_text,sft-7b-plain-100pct,sft-7b-plain-100pct,soup_can,0.35,105,195,300,0.2982310964752725,0.4055619325240481,0.35
trained_text,sft-7b-plain-100pct,sft-7b-plain-100pct,spam,0.27,81,219,300,0.22290322460653217,0.32291275319242624,0.27
