modality,model_a,model_b,acc_a,acc_b,n_common,a_wrong_b_right,a_right_b_wrong,p_mcnemar,is_adjacent,p_mcnemar_fdr
text,human,qwen,0.8213333333333334,0.17733333333333334,3000,12,1944,0.0,True,0.0
text,human,gemini,0.8213333333333334,0.14833333333333334,3000,33,2052,0.0,False,0.0
text,human,claude,0.8213333333333334,0.14066666666666666,3000,20,2062,0.0,False,0.0
text,human,kimi,0.8213333333333334,0.136,3000,20,2076,0.0,False,0.0
text,human,gpt,0.8213333333333334,0.08333333333333333,3000,10,2224,0.0,False,0.0
text,human,vla0,0.8213333333333334,0.041666666666666664,3000,7,2346,0.0,False,0.0
text,human,glm,0.8213333333333334,0.035,3000,3,2362,0.0,False,0.0
text,human,qwen3b,0.8213333333333334,0.021333333333333333,3000,1,2401,0.0,False,0.0
text,qwen,gemini,0.17733333333333334,0.14833333333333334,3000,232,319,0.0002419175834919351,True,0.00028093654857127946
text,qwen,claude,0.17733333333333334,0.14066666666666666,3000,240,350,6.803637124802146e-06,False,8.164364549762575e-06
text,qwen,kimi,0.17733333333333334,0.136,3000,156,280,3.0347045054748513e-09,False,3.901762935610523e-09
text,qwen,gpt,0.17733333333333334,0.08333333333333333,3000,91,373,1.4326920543254772e-41,False,2.456043521700818e-41
text,qwen,vla0,0.17733333333333334,0.041666666666666664,3000,64,471,1.31490971129748e-77,False,3.94472913389244e-77
text,qwen,glm,0.17733333333333334,0.035,3000,24,451,3.363122499159435e-103,False,1.2107240996973967e-102
text,qwen,qwen3b,0.17733333333333334,0.021333333333333333,3000,21,489,5.808577372685807e-117,False,2.323430949074323e-116
text,gemini,claude,0.14833333333333334,0.14066666666666666,3000,277,300,0.35974539107591824,True,0.3700238308209445
text,gemini,kimi,0.14833333333333334,0.136,3000,233,270,0.10836620072093665,False,0.11821767351374907
text,gemini,gpt,0.14833333333333334,0.08333333333333333,3000,125,320,8.654203023943716e-21,False,1.2981304535915574e-20
text,gemini,vla0,0.14833333333333334,0.041666666666666664,3000,74,394,8.675301390584244e-54,False,1.7350602781168488e-53
text,gemini,glm,0.14833333333333334,0.035,3000,45,385,2.012633293898065e-68,False,4.830319905355357e-68
text,gemini,qwen3b,0.14833333333333334,0.021333333333333333,3000,28,409,7.032280784900773e-88,False,2.3014737114220707e-87
text,claude,kimi,0.14066666666666666,0.136,3000,275,289,0.584143867008877,True,0.584143867008877
text,claude,gpt,0.14066666666666666,0.08333333333333333,3000,167,339,1.640272579113237e-14,False,2.2711466480029434e-14
text,claude,vla0,0.14066666666666666,0.041666666666666664,3000,84,381,3.1971950714302376e-46,False,6.0578432932362396e-46
text,claude,glm,0.14066666666666666,0.035,3000,62,379,1.3358015223022233e-56,False,2.828756164875297e-56
text,claude,qwen3b,0.14066666666666666,0.021333333333333333,3000,38,396,3.012981574772321e-76,False,8.343641283984889e-76
text,kimi,gpt,0.136,0.08333333333333333,3000,117,275,8.940960715442068e-16,True,1.287498343023658e-15
text,kimi,vla0,0.136,0.041666666666666664,3000,80,363,4.0522644186181897e-44,False,7.294075953512741e-44
text,kimi,glm,0.136,0.035,3000,36,339,6.367937821324104e-63,False,1.4327860097979235e-62
text,kimi,qwen3b,0.136,0.021333333333333333,3000,34,378,1.3983908062565168e-74,False,3.595862073231043e-74
text,gpt,vla0,0.08333333333333333,0.041666666666666664,3000,95,220,1.4379026912129673e-12,True,1.9172035882839564e-12
text,gpt,glm,0.08333333333333333,0.035,3000,46,191,3.4788274620288777e-22,False,5.445121244914765e-22
text,gpt,qwen3b,0.08333333333333333,0.021333333333333333,3000,42,228,4.149881667937923e-32,False,6.790715456625693e-32
text,vla0,glm,0.041666666666666664,0.035,3000,83,103,0.16339823196739292,True,0.17300989267135722
text,vla0,qwen3b,0.041666666666666664,0.021333333333333333,3000,34,95,7.340990314237488e-08,False,9.112953493536191e-08
text,glm,qwen3b,0.035,0.021333333333333333,3000,44,85,0.0003871551339548355,True,0.00043554952569918994
