modality,naive_lift,ws_met,ws_unmet,ws_lift,ws_ci_low,ws_ci_high,p_ws_lift,r_within,p_within,null_mean,perm_p,n_varying,group,relation,kind,parent_1,parent_2,target,p_ws_lift_fdr,perm_p_fdr
text,0.28165762315139914,0.5818143055111396,0.30126173877974305,0.2805525667313965,0.26686899932606917,0.2939070105019872,0.0,0.25120753240457977,0.0,0.143483095947744,0.001996007984031936,2971,Internal Referential Chain,task2->task6,unary,task2,,task6,0.0,0.001996007984031936
text,0.33014088769966454,0.5249228467221547,0.1978259446008775,0.32709690212127723,0.3158979462144206,0.33988038284491606,0.0,0.3142856317500251,0.0,0.13655503737050798,0.001996007984031936,2885,Internal Referential Chain,task6->task7,unary,task6,,task7,0.0,0.001996007984031936
text,0.5154524209429054,0.6046728971962617,0.08863575087624696,0.5160371463200147,0.5008679043877536,0.5307368094099527,0.0,0.4805311372180749,0.0,0.368595044259606,0.001996007984031936,2124,Visible Count Hierarchy,task3->task5,unary,task3,,task5,0.0,0.001996007984031936
text,0.2209414977124757,0.2730647600714973,0.05144980211614571,0.22161495795535163,0.21310384062460763,0.23050945705010564,0.0,0.3090029616111241,0.0,0.18844834585462594,0.001996007984031936,2992,Visible Count Hierarchy,task4->task5,unary,task4,,task5,0.0,0.001996007984031936
text,0.4120220152691852,0.7455607476635514,0.35481261795632246,0.39074812970722894,0.3759722260086225,0.40543030043875217,0.0,0.2876709985774277,0.0,0.3047421936537294,0.001996007984031936,2124,Hidden Count Hierarchy,task3->task8,unary,task3,,task8,0.0,0.001996007984031936
text,0.3255647808920396,0.6184030937215651,0.29570530312018034,0.32269779060138476,0.30811835337537735,0.33705585945018035,0.0,0.2897531575722008,0.0,0.1797837724649864,0.001996007984031936,2850,Hidden Count Hierarchy,task7->task8,unary,task7,,task8,0.0,0.001996007984031936
text,0.656002178463645,0.7222101841820152,0.062187026901129615,0.6600231572808856,0.6455822504211405,0.6739821176763093,0.0,0.6241524124457924,0.0,0.4062818747278666,0.001996007984031936,2421,Summation Mechanism,task5->main,unary,task5,,main,0.0,0.001996007984031936
text,0.26206210584248824,0.33587148296034913,0.07366240938902313,0.262209073571326,0.2516165897736706,0.27234379759683897,0.0,0.30479624180103276,0.0,0.16953069837985016,0.001996007984031936,2806,Summation Mechanism,task8->main,unary,task8,,main,0.0,0.001996007984031936
text,0.5604199713528276,0.6556927297668038,0.09537088678192973,0.5603218429848741,0.5443437446811453,0.5763348976442609,0.0,0.4951667773264503,0.0,0.34480926869002304,0.001996007984031936,2995,Visible Count Hierarchy,task3&task4->task5,joint,task3,task4,task5,0.0,0.001996007984031936
text,0.500540965476809,0.8476702508960573,0.350391356134082,0.4972788947619753,0.4821003572617172,0.5128569993399477,0.0,0.28900372979171873,0.0,0.3045045530142106,0.001996007984031936,2922,Hidden Count Hierarchy,task3&task7->task8,joint,task3,task7,task8,0.0,0.001996007984031936
