model,display_name,object_count,visible_count,hidden_count,referential_chain,visible_support,hidden_support,summation_mechanism,mental_rotation_mean
human,Human,0.8270833333333333,0.9929166666666667,0.8933333333333332,0.9702062335009083,0.9928757015024618,0.8957019133533637,0.8364186217008798,0.9595833333333332
claude3CQ,Claude 3CQ,0.23749999999999996,0.44600000000000006,0.08,0.40709623516003174,0.44687849479724673,0.05316904938195635,0.26763485477178417,0.24400000000000005
qwen3CQ,Qwen 3CQ,0.2055,0.36549999999999994,-0.20899999999999994,0.32008869593715716,0.3443544741176091,-0.20592727421011067,0.07418397626112762,-0.13999999999999996
claude4CQ,Claude 4CQ,0.1777777777777778,0.43599999999999994,0.10711111111111109,0.33316078987173803,0.43767516085874736,0.10645357759186205,0.2610441767068273,0.13766345366166893
qwen4CQ,Qwen 4CQ,0.148,0.17333333333333334,-0.12622222222222224,0.2159000457164605,0.16675426113393058,-0.13098950747385435,0.057471264367816056,-0.10844444444444445
gemini3CQ,Gemini 3CQ,0.14000000000000004,0.4585,0.219,0.38044445185040865,0.47271563024375357,0.22859011590587527,0.21443965517241378,0.19625
gemini4CQ,Gemini 4CQ,0.12799999999999997,0.3555555555555556,0.17688888888888887,0.24246086007144294,0.3655951304200308,0.18780133814706454,0.19957196361690746,0.09688888888888889
gpt3CQ,GPT3CQ,0.0785,0.421,0.15049999999999997,0.3666385782135744,0.4202893157405865,0.13944948805697183,0.12903225806451615,0.07925
gpt4CQ,GPT4CQ,0.059111111111111114,0.24266666666666667,0.10355555555555555,0.34636657085028066,0.2503810617455149,0.11104973788518095,0.16852264291017072,0.03660788967945654
gpt,GPT,0.008749999999999973,0.2404166666666666,0.12583333333333335,0.35359591581881267,0.23628987874376406,0.12325780154277699,0.021892655367231617,0.01875
qwen,Qwen,0.002083333333333312,0.07958333333333331,-0.020000000000000018,0.10185895664107568,0.07339867080636914,-0.016051836819186635,0.010416666666666664,-0.04875000000000001
claude,Claude,0.0,0.40708333333333324,0.11749999999999997,0.2500561428966279,0.4041442323380649,0.12692938855481517,-0.022489539748953985,0.2620833333333333
gemini,Gemini,-0.00583333333333335,0.32625,0.14083333333333328,0.21266055166991338,0.37754589802446525,0.1696217879546074,-0.028761061946902672,0.10583333333333331
